Name,Description,Instructor,Rating,Number of Ratings,Total Hours,Number of Lectures,Level,Current Price,Original Price,Bestseller
"Machine Learning A-Z: AI, Python & R + ChatGPT Prize [2024]",Learn to create Machine Learning Algorithms in Python and R from two Data Science experts. Code templates included.,"Kirill Eremenko, Hadelin de Ponteves, SuperDataScience Team, Ligency Team",4.5,"(191,570)",43 total hours,387 lectures,All Levels,EÂ£249.99,"EÂ£2,099.99",Yes
Python for Data Science and Machine Learning Bootcamp,"Learn how to use NumPy, Pandas, Seaborn , Matplotlib , Plotly , Scikit-Learn , Machine Learning, Tensorflow , and more!","Jose Portilla, Pierian Training",4.6,"(147,245)",25 total hours,165 lectures,All Levels,EÂ£349.99,"EÂ£2,799.99",
The Data Science Course: Complete Data Science Bootcamp 2024,"Complete Data Science Training: Math, Statistics, Python, Advanced Statistics in Python, Machine and Deep Learning",365 Careers,4.6,"(146,979)",31.5 total hours,520 lectures,All Levels,EÂ£249.99,"EÂ£1,899.99",Yes
R Programming A-Zâ„¢: R For Data Science With Real Exercises!,"Learn Programming In R And R Studio. Data Analytics, Data Science, Statistical Analysis, Packages, Functions, GGPlot2","Kirill Eremenko, SuperDataScience Team, Ligency Team",4.6,"(54,982)",10.5 total hours,80 lectures,All Levels,EÂ£349.99,"EÂ£2,999.99",Yes
"Deep Learning A-Z 2024: Neural Networks, AI & ChatGPT Prize","Learn to create Deep Learning models in Python from two Machine Learning, Data Science experts. Code templates included.","Kirill Eremenko, Hadelin de Ponteves, SuperDataScience Team, Ligency Team",4.6,"(47,041)",22.5 total hours,189 lectures,All Levels,EÂ£349.99,"EÂ£2,599.99",Yes
Statistics for Data Science and Business Analysis,"Statistics you need in the office: Descriptive & Inferential statistics, Hypothesis testing, Regression analysis",365 Careers,4.5,"(45,761)",5 total hours,92 lectures,All Levels,EÂ£249.99,"EÂ£1,699.99",Yes
Artificial Intelligence A-Z 2024: Build 7 AI + LLM & ChatGPT,"Combine the power of Data Science, Machine Learning and Deep Learning to create powerful AI for Real-World applications!","Hadelin de Ponteves, Kirill Eremenko, SuperDataScience Team, Luka Anicin, Ligency Team",4.4,"(42,140)",15.5 total hours,129 lectures,All Levels,EÂ£299.99,"EÂ£2,499.99",Yes
Data Science A-Z: Hands-On Exercises & ChatGPT Prize [2024],"Learn Data Science step by step through real Analytics examples. Data Mining, Modeling, Tableau Visualization and more!","Kirill Eremenko, SuperDataScience Team, Ligency Team",4.6,"(34,249)",21 total hours,217 lectures,All Levels,EÂ£349.99,"EÂ£2,799.99",
"Machine Learning, Data Science and Generative AI with Python","Complete hands-on machine learning and GenAI tutorial with data science, Tensorflow, GPT, OpenAI, and neural networks","Sundog Education by Frank Kane, Frank Kane, Sundog Education Team",4.7,"(33,499)",20.5 total hours,147 lectures,Beginner,EÂ£299.99,"EÂ£2,299.99",
Python A-Zâ„¢: Python For Data Science With Real Exercises!,"Programming In Python For Data Analytics And Data Science. Learn Statistical Analysis, Data Mining And Visualization","Kirill Eremenko, SuperDataScience Team, Ligency Team",4.6,"(29,044)",11 total hours,73 lectures,All Levels,EÂ£299.99,"EÂ£2,299.99",
Spark and Python for Big Data with PySpark,"Learn how to use Spark with Python, including Spark Streaming, Machine Learning, Spark 2.0 DataFrames and more!","Jose Portilla, Pierian Training",4.5,"(24,838)",10.5 total hours,67 lectures,Intermediate,EÂ£399.99,"EÂ£2,799.99",Yes
"Complete A.I. & Machine Learning, Data Science Bootcamp","Learn Data Science, Data Analysis, Machine Learning (Artificial Intelligence) and Python with Tensorflow, Pandas & more!","Andrei Neagoie, Daniel Bourke",4.6,"(24,648)",44 total hours,384 lectures,All Levels,EÂ£249.99,"EÂ£2,099.99",
Data Analysis with Pandas and Python,Analyze data quickly and easily with Python's powerful pandas library! All datasets included --- beginners welcome!,Boris Paskhaver,4.7,"(23,290)",19.5 total hours,141 lectures,All Levels,EÂ£299.99,"EÂ£2,499.99",Yes
Machine Learning for Absolute Beginners - Level 1,Learn the Fundamental Concepts of Artificial Intelligence and Machine Learning as the Next Game-Changing Technology,Idan Gabrieli,4.5,"(22,278)",4.5 total hours,59 lectures,Beginner,EÂ£249.99,"EÂ£1,299.99",
LangChain- Develop LLM powered applications with LangChain,"Learn LangChain by building FAST a real world generative ai LLM powered application LLM (Python, Latest Version 0.3.0)",Eden Marco | LLM Specialist,4.6,"(20,213)",9.5 total hours,80 lectures,Intermediate,EÂ£249.99,"EÂ£1,299.99",Yes
NLP - Natural Language Processing with Python,"Learn to use Machine Learning, Spacy, NLTK, SciKit-Learn, Deep Learning, and more to conduct Natural Language Processing","Jose Portilla, Pierian Training",4.5,"(18,185)",11.5 total hours,80 lectures,Intermediate,EÂ£399.99,"EÂ£3,099.99",Yes
